95363,酷派手机9960(幻影黑)(豪华版)(JS),酷派（Coolpad）,1,1019,1499,4.1-4.9英寸,Android（安卓）,
95364,酷派手机5910（极光白）（JS）,酷派（Coolpad）,2,90,359,-,谷歌Android,
95365,酷派手机9120(钢琴黑),酷派（Coolpad）,0,3,398,-,-,
95393,摩托罗拉手机XT788(悦目黑),摩托罗拉（Motorola）,15,494,598,4.1-4.9英寸,其它智能系统,
95394,三星 i919U 电信3G手机 双模超薄安卓2.3  CDMA2000/GSM,三星（SAMSUNG）,0,0,1498,-,谷歌Android,
95561,三星GT-E1202 双卡双待 超长待机 直板 老人机,三星（SAMSUNG）,0,3,188,3.5英寸以下,非智能操作系统,
95567,摩托罗拉（MOTOROLA）MT788 3G手机（悦目黑）移动定制,摩托罗拉（Motorola）,5,132,699,-,-,
95572,摩托罗拉（Motorola）ME722 3G手机（精锐蓝）WCDMA\GSM 联通定制,摩托罗拉（Motorola）,16,2248,2063,-,-,
95575,中兴（ZTE）N970 3G手机（黑色）CDMA2000/CDMA电信定制,中兴（ZTE ）,0,0,1136,4.1-4.9英寸,Android（安卓）,
95576,诺基亚手机N5000,诺基亚（Nokia）,3,13,445,-,-,
95577,中兴 ZTE U880s2   支持CMMB数字电视 3.5英寸 3G直板智能手机 移动版,中兴（ZTE ）,0,0,299,3.5英寸以下,Android（安卓）,
95582,华为（HUAWEI）C8812E 3G手机（白色）CDMA2000电信定制,华为（HUAWEI）,0,6,376,-,-,
95583,HTC T528d 双模双待 CDMA2000/GSM 3G手机 白色 - 4.3英寸/500万像素/直板式/电信定制机,HTC,5,1254,680,-,-,
95586,ZTE/中兴 N855D 手机 （黑色）电信3G 双模双待 安卓智能,中兴（ZTE ）,0,19,388,4英寸,谷歌Android,
95663,三星Galaxy S3mini I8190N 联通3G手机 双核 ,MINI,0,0,799,-,-,
95667,诺基亚5238 3G手机,诺基亚（Nokia）,0,3,448,3.5英寸以下,其它智能系统,
95670,Huawei 华为 Y210C GSM/CDMA2000 双模双待手机  电信定制机,华为（HUAWEI）,0,1,428,4.1-4.9英寸,Android（安卓）,
95671,HTC T528t 双卡双待 TD-SCDMA/GSM 3G手机 白色 - 4.3英寸/500万像素/直板式/移动定制机,HTC,12,1516,999,4.1-4.9英寸,Android（安卓）,
95812,HTC T329d 双网双待 Android4.0系统 4英寸大屏 双核1GHz处理器 3G智能手机(黑色,电信版),HTC,0,18,599,-,-,
95815,中兴（ZTE）N880G 3G手机（宝石蓝）CDMA2000/GSM双模双待,中兴（ZTE ）,0,1,648,4.1-4.9英寸,Android（安卓）,
95817,华为（huawei）Y310 3G手机TD-SCDMA/GSM,华为（HUAWEI）,0,0,399,3.6-4.0英寸,Android（安卓）,
95818,诺基亚手机2060,诺基亚（Nokia）,2,267,420,-,其他,
95860,ZTE 中兴 V889S 3G手机(黑色 联通定制)WCDMA/GSM全新安卓4.1Jelly Bean系统,4英寸高清大屏,双核1G处理器,中兴（ZTE ）,0,17,348,4.5-3.1英寸,安卓（Android）,
95901,HTC 8X（C620t）3G手机（石墨黑）TD-SCDMA/GSM,HTC,0,24,1288,-,-,
96296,HTC T327d 3G手机（白色）CDMA2000/GSM 双模双待双通,HTC,0,1,599,3.6-4.0英寸,Android（安卓）,
96297,华为（HUAWEI）Y300C 3G手机CDMA2000/GSM 双模双待,华为（HUAWEI）,0,1,668,3.6-4.0英寸,Android（安卓）,
96298,三星 I9105P 安卓4.1双核4.3寸屏3G智能手机 WCDMA/GSM,三星（SAMSUNG）,0,193,1099,-,-,
96299,三星 I8262D 联通3G手机 4.3寸屏 WCDMA/GSM,三星（SAMSUNG）,0,7,949,4.1-4.9英寸,Android（安卓）,
96300,三星 I9082 联通3G智能手机 5.0寸屏 Android 4.1 WCDMA/GSM ,三星（SAMSUNG）,52,1841,699,-,-,
96301,华为手机G510 双核1.2G 双卡 4.5寸 联通3G手机,华为（HUAWEI）,0,3,689,3.6-4.0英寸,Android（安卓）,
96302,Nokia 诺基亚 C5-05 GSM手机 红黑色,诺基亚（Nokia）,0,1,436,3.2,诺基亚Symbian,
